mukey,aws025wta,aws050wta,aws0100wta,aws0150wta,hydgrpdcd
49854,5.14,9.32,13.87,13.87,C
49855,4.09,5.74,8.05,10.35,C
49856,5.52,9.61,12.77,12.77,C
49857,5.58,9.42,11.96,12.01,C
49858,4.62,6.57,8.23,9.83,C
49859,4.78,6.81,8.12,9.38,C
49860,5.48,7.71,9.13,10.4,D
49861,5.74,8.72,12.51,15.61,C
49862,7.19,11.03,11.56,11.56,D
49863,6.73,12.78,15.86,18.11,D
49864,6.87,12.75,14.81,16.04,D
49865,6.41,8.74,9.0,9.23,D
49866,5.97,9.63,10.56,10.56,D
49867,6.16,8.39,8.87,9.29,D
49868,5.98,8.93,9.48,9.53,D
49870,6.28,10.09,13.8,15.06,D
49871,7.95,13.16,18.88,19.83,D
49872,4.45,5.57,5.67,5.76,D
49873,4.83,7.32,11.15,14.0,C
49874,4.99,6.64,8.01,9.26,D
49875,4.99,6.64,8.01,9.26,D
49876,4.04,5.16,6.48,7.65,D
49877,4.63,5.96,7.01,7.93,D
49878,4.32,5.4,6.39,7.31,D
49879,4.8,6.43,7.08,7.58,D
49880,4.49,5.86,5.97,5.97,D
49881,6.31,10.57,12.89,12.89,D
49882,3.08,3.99,4.35,4.35,C
49883,3.82,5.05,5.51,5.51,C
49884,3.82,5.05,5.51,5.51,C
49885,1.61,6.2,13.79,19.55,B
49886,5.05,9.2,13.67,13.67,C
49887,3.97,5.59,7.85,10.1,C
49888,2.28,6.37,10.59,13.79,D
49889,5.51,9.3,11.87,11.87,D
49890,5.46,9.1,11.39,11.39,D
49891,4.64,6.54,8.01,9.44,C
49892,4.76,6.67,7.98,9.22,D
49893,5.59,8.1,9.62,10.54,D
49894,8.21,14.56,20.45,21.65,D
49895,7.42,11.23,12.19,12.79,D
49896,6.53,16.05,36.3,56.55,C
49897,5.74,8.72,12.51,15.61,C
49898,7.11,10.93,11.55,11.55,D
49899,8.63,13.72,16.1,16.1,D
49900,6.89,13.39,17.6,20.98,D
49901,6.77,12.94,16.07,18.37,D
49902,6.41,8.74,9.0,9.23,D
49903,5.87,9.12,9.38,9.38,D
49904,6.16,8.39,8.87,9.29,D
49905,8.7,18.29,37.41,56.53,B
49906,6.0,8.89,9.19,9.24,D
49907,5.57,10.26,15.02,15.02,C
49908,4.71,6.78,9.53,12.18,C
49909,7.65,12.12,14.09,14.09,D
49910,6.67,12.09,16.54,16.54,D
49911,6.37,10.26,13.99,15.25,D
49912,5.46,7.91,8.84,9.22,D
49913,7.89,13.12,18.49,19.09,D
49914,4.83,7.32,11.15,14.0,C
49915,4.99,6.64,8.01,9.26,D
49916,4.99,6.64,8.01,9.26,D
49917,4.04,5.16,6.48,7.65,D
49918,4.63,5.96,7.01,7.93,D
49919,4.89,7.03,8.23,8.85,D
49920,4.94,7.06,8.13,8.63,D
49921,4.55,6.27,6.75,6.75,D
49922,6.79,11.88,14.55,14.55,D
49923,6.79,11.88,14.55,14.55,D
49924,3.08,3.99,4.45,4.45,C
49925,3.82,5.05,5.51,5.51,C
49926,3.82,5.05,5.51,5.51,C
49927,10.03,20.78,42.15,63.53,B
49928,1.8,6.27,13.86,19.62,B
49929,5.05,9.12,13.59,13.59,C
49930,4.0,5.59,7.84,10.09,C
49931,2.28,6.37,10.59,13.79,D
49932,2.39,6.62,10.89,14.14,B
